x;y;date
6629;47;17/04/2019
5234;45;18/04/2019
4482;28;19/04/2019
2798;24;20/04/2019
3061;23;21/04/2019
5176;41;22/04/2019
6126;38;23/04/2019
6827;48;24/04/2019
5943;51;25/04/2019
5373;47;26/04/2019
3124;28;27/04/2019
3184;27;28/04/2019
6989;43;29/04/2019
5958;45;30/04/2019
5746;38;01/05/2019
6008;46;02/05/2019
5565;38;03/05/2019
2610;29;04/05/2019
3380;42;05/05/2019
6524;40;06/05/2019
6206;47;07/05/2019
6520;44;08/05/2019
6250;43;09/05/2019
5513;32;10/05/2019
2815;43;11/05/2019
3126;23;12/05/2019
6438;59;13/05/2019
6227;52;14/05/2019
7596;48;15/05/2019
6677;37;16/05/2019
5824;44;17/05/2019
3150;41;18/05/2019
3747;41;19/05/2019
7515;51;20/05/2019
7456;42;21/05/2019
6937;49;22/05/2019
6308;56;23/05/2019
5577;43;24/05/2019
2979;36;25/05/2019
3259;22;26/05/2019
6065;34;27/05/2019
6306;44;28/05/2019
6939;48;29/05/2019
5571;46;30/05/2019
5421;43;31/05/2019
2392;27;01/06/2019
3096;26;02/06/2019
6008;40;03/06/2019
6048;41;04/06/2019
6569;44;05/06/2019
6502;46;06/06/2019
5708;24;07/06/2019
3157;31;08/06/2019
3518;27;09/06/2019
5997;38;10/06/2019
7209;56;11/06/2019
6716;43;12/06/2019
7040;41;13/06/2019
6164;37;14/06/2019
2731;38;15/06/2019
3122;18;16/06/2019
7212;52;17/06/2019
6808;60;18/06/2019
6928;32;19/06/2019
6249;55;20/06/2019
5314;41;21/06/2019
2584;32;22/06/2019
3195;25;23/06/2019
7573;47;24/06/2019
6910;54;25/06/2019
7360;60;26/06/2019
6295;52;27/06/2019
5517;41;28/06/2019
2727;30;29/06/2019
3207;25;30/06/2019
7104;32;01/07/2019
6574;53;02/07/2019
7055;36;03/07/2019
6256;46;04/07/2019
5444;46;05/07/2019
2712;26;06/07/2019
3380;32;07/07/2019
2;0;09/12/2014
11;0;10/12/2014
3;0;11/12/2014
1;0;14/12/2014
1;0;15/12/2014
1;0;16/12/2014
1;0;17/12/2014
1;0;18/12/2014
1;0;05/01/2015
2;0;22/01/2015
1;0;02/02/2015
1;0;05/02/2015
1;0;12/02/2015
2;0;13/02/2015
2;0;18/02/2015
1;0;23/02/2015
1;0;26/02/2015
1;0;09/03/2015
1;0;15/03/2015
1;0;20/03/2015
1;0;21/03/2015
1;0;28/03/2015
1;0;15/04/2015
1;0;16/04/2015
2;0;27/04/2015
1;0;04/05/2015
1;0;05/05/2015
1;0;06/05/2015
1;0;24/05/2015
1;0;28/05/2015
2;0;06/06/2015
1;0;22/06/2015
1;0;26/06/2015
1;0;28/06/2015
1;0;29/06/2015
2;0;07/07/2015
1;0;19/07/2015
1;0;27/07/2015
1;0;06/08/2015
1;0;21/08/2015
2;0;24/08/2015
1;0;03/09/2015
1;0;14/09/2015
1;0;24/09/2015
1;0;10/10/2015
1;0;18/10/2015
1;0;21/10/2015
1;0;16/11/2015
1;0;19/11/2015
1;0;25/11/2015
1;0;26/11/2015
1;0;29/11/2015
7;0;07/12/2015
3;0;08/12/2015
2;0;09/12/2015
1;0;10/12/2015
1;0;12/12/2015
2;0;14/12/2015
4;0;15/12/2015
5;0;16/12/2015
1;0;18/12/2015
1;0;21/12/2015
2;0;22/12/2015
1;0;27/12/2015
4;0;28/12/2015
1;0;29/12/2015
2;0;30/12/2015
1;0;02/01/2016
1;0;04/01/2016
3;0;05/01/2016
1;0;06/01/2016
1;0;08/01/2016
1;0;10/01/2016
1;0;11/01/2016
4;0;12/01/2016
4;0;13/01/2016
2;0;14/01/2016
1;0;16/01/2016
2;0;17/01/2016
1;0;18/01/2016
1;0;19/01/2016
1;0;20/01/2016
10;0;21/01/2016
2;0;22/01/2016
1;0;24/01/2016
2;0;25/01/2016
2;0;26/01/2016
13;0;27/01/2016
9;0;28/01/2016
